연 번,기 능,설 치 장 소,위도,경도,연 락 처
25,다기능,아산 음봉면 음봉로 삼거교차로,36.8500468,127.0201461,041-336-2253
26,다기능,천안시 서북구 성거읍 망향로 석교교차로,36.8702461,127.1967794,041-336-2253
27,과속,천안시 서북구 입장 망향로 시장교차로 전,36.9012313,127.2183537,041-336-2253
28,과속,천안시 서북구 성거읍 봉주로 천안인애학교 앞,36.8792886,127.1718032,041-336-2253
29,다기능,천안시 동남구 망향로 상명대 앞 삼거리,36.8316982,127.1717597,041-336-2253
30,과속,"천안시 동남구 성남면 남부대로 화성교차로 600m전(화성리41-2, 병천→천안)",36.7564718,127.2641866,041-336-2253
31,다기능,서산시 성연면 백제신사로 성연교차로,36.8443085,126.4752605,041-336-2253
32,과속,태안군 남면 천수만로 당암포구 입구,36.622058,126.354035,041-336-2253
33,과속,서산시 성연면 충의로 오스카빌 앞,36.843975,126.445327,041-336-2253
34,과속,태안군 서해로 장산교차로 200m 전,36.7568157,126.2764765,041-336-2253
35,다기능,아산시 송악면 송악로 강장4가(예산→아산),36.7020563,126.9544402,041-336-2253
36,과속,아산 배방 세교리 온천대로 세교지하차도 입구 앞,36.7760449,127.0611784,041-336-2253
37,과속,아산 둔포 장영실로 (주)하이코리아 건너편,36.908921,127.0055963,041-336-2253
38,다기능,논산시 지산동 계백로 계백교차로,36.2126573,127.1482578,041-336-2253
39,과속,논산시 부적면 계백로 반송리 입구,36.2126573,127.1482578,041-336-2253
40,과속,논산시 연무읍 득안대로 연무초등학교 앞,36.1174202,127.0972523,041-336-2253
41,다기능,공주시 주미동 우금티로 오곡교차로,36.4197319,127.0995171,041-336-2253
42,과속,공주시 석장리동 금벽로 LPG충전소 앞,36.4462803,127.1905321,041-336-2253
43,과속,공주시 정안면 정안세종로 덕학IC교 후방,36.6085712,127.1201175,041-336-2253
44,다기능,보령시 신흑동 대해로 됫박산교차로,36.3090686,126.5231588,041-336-2253
45,과속,보령시 보령북로 230 무궁화어린이집 앞(대천동),,,041-336-2253
46,과속,보령시 주포면 충서로 주포사거리,36.4165567,126.5852334,041-336-2253
47,다기능,당진 송악 북부산업로 고대교차로,36.9807687,126.737648,041-336-2253
48,과속,당진시 합덕읍 남부로 하운회관 앞,36.8145233,126.7534762,041-336-2253
49,과속,당진 합덕 예덕로 원석우리 입구,36.7984731,126.7521948,041-336-2253
50,다기능,홍성군 금마면 충서로 장성3가,36.6171677,126.7128769,041-336-2253
51,과속,홍성군 광천읍 충서로 이마트24 편의점 앞,36.5212423,126.6242234,041-336-2253
52,과속,홍성군 홍성읍 도청대로 홍성여중 앞,36.60762,126.662678,041-336-2253
53,다기능,"예산군 예산읍 벚꽃로 신례원역 입구(신례원리 232-10, 아산→예산)",36.725288,126.8477757,041-336-2253
54,과속,예산군 신양면 불원귀곡길 불원교차로 200m후방,36.622615,126.874521,041-336-2253
55,다기능,부여군 옥산면 수암리 대백제로 수암1교차로,36.1943639,126.7414186,041-336-2253
56,과속,부여군 홍산면 좌홍리 대백제로 좌홍교차로,36.2127467,126.7751187,041-336-2253
57,다기능,서천군 한산면 충절로 지현3가,36.0936359,126.8155043,041-336-2253
58,과속,서천군 기산면 정산로 광암삼거리 500m 전,36.0735737,126.7857231,041-336-2253
59,과속,서천군 서천읍 사곡로 한국농어촌공사 서천지사,36.0824126,126.6995042,041-336-2253
60,다기능,금산 금산읍 삼풍로 하옥사거리,36.0930003,127.4905996,041-336-2253
61,과속,금산 금산읍 무금로 삼풍삼거리 전방 버스정류장(신대리 303-13),36.0927506,127.5047649,041-336-2253
62,과속,금산 남일면 음대리 29-1(금산로 303 돌모랭이 버스정류장 전방),36.0089998,127.5110396,041-336-2253
63,과속,청양군 남양면 충절로 온직리 3구 마을회관 앞(부여→청양),,,041-336-2253
64,과속,청양군 대치면 광대리 칠갑산로 칠갑대교,36.4392806,126.8460688,041-336-2253
65,과속,천안논산고속도로 242.1km 천안방면(충남 공주 우성),36.7373536,127.1567214,041-336-2253
66,다기능,서산시 대산읍 충의로 농협하나로마트 삼거리(당진→서산),36.9906407,126.424532,041-336-2253
67,다기능,서산시 대산읍 충의로 농협하나로마트 삼거리(서산→당진),36.942018,126.4287068,041-336-2253
68,다기능,논산시 덕지동 강변로 덕지4가(논산대교 방향),36.2119512,127.090968,041-336-2253
69,다기능,보령시 청소면 충서로 진죽4가(보령→홍성),36.454552,126.594039,041-336-2253
70,다기능,홍성 갈산면 내포로 상촌교차로,36.6028113,126.5475654,041-336-2253
71,과속,천안시 서북구 번영로 불당아이파크 앞,36.8084977,127.1090869,041-336-2253
72,과속,천안시 서북구 부대동 삼성대로 목양교회 옆,36.8369322,127.145918,041-336-2253
73,다기능,천안시 동남구 병천면 매봉로 만화교차로,36.7461579,127.3153973,041-336-2253
74,과속,천안시 동남구 동면 충절로 반계마을 앞,,,041-336-2253
75,다기능,논산시 연무읍 득안대로 동산사거리,36.1309612,127.1058298,041-336-2253
76,다기능,서산시 충의로 예천현대아파트 입구,36.77497,126.438545,041-336-2253
77,다기능,서산시 지곡면 충의로 화천교차로(화천슈퍼),36.8776094,126.4399575,041-336-2253
78,다기능,서산시 지곡면 충의로 대요교차로,36.8690304,126.4399316,041-336-2253
79,과속,예산군 예산읍 벚꽃로 간양2리 교차로,36.726552,126.867532,041-336-2253
80,과속,예산군 대술면 대술동로 장복2교앞,36.682866,126.928188,041-336-2253
81,다기능,부여군 홍산면 남촌리 대백제로 남촌사거리,36.2105012,126.7605275,041-336-2253
82,다기능,서천군 서천읍 대백제로 오석교회 진입 단일교차로,36.0953643,126.685053,041-336-2253
83,다기능,천안시 서북구 성환읍 천안대로 안궁기사식당 앞,,,041-336-2253
84,다기능,천안시 서북구 신당동 천안대로 천안공대사거리,36.8498197,127.1553334,041-336-2253
85,다기능,천안시 동남구 망향로 189 단대병원삼거리,36.8401665,127.1739004,041-336-2253
86,다기능,아산시 탕정면 삼성로 아름타운3가(탕정→천안),36.81785,127.068565,041-336-2253
87,다기능,아산시 탕정면 삼성로 아름타운3가(현충사방향),36.81785,127.068565,041-336-2253
88,다기능,아산시 도고면 온천대로 시전사거리,36.7495216,126.8872232,041-336-2253
89,다기능,아산시 염치읍 충절로 중방교차로(강청리 54-4),36.8197742,126.9479689,041-336-2253
90,과속,당진시 송악읍 송악로 가학리 49-13(당진↔서산),36.9239852,126.7143612,041-336-2253
91,과속,당진시 원당동 서해로 원당주공아파트 앞,36.9027198,126.6432917,041-336-2253
92,다기능,"태안군 태안읍 동평로 16, 천월교차로(동문리, 서산→태안)",36.747503,126.3098333,041-336-2253
93,다기능,"태안군 태안읍 동평로 16, 천월교차로(동문리, 태안→서산)",36.747503,126.3098333,041-336-2253
94,다기능,태안군 남면 안면대로 곰섬삼거리(남면→안면),36.612695,126.31406,041-336-2253
95,다기능,태안군 태안읍 서해로 평천4리 마을회관,36.761538,126.330746,041-336-2253
96,다기능,태안군 태안읍 원이로 무내교차로,36.7759433,126.2806059,041-336-2253
97,과속,천안시 서북구 성환읍 천안대로 2520-1 럭키주유소 앞,36.9624375,127.1250625,041-336-2253
98,과속,태안군 태안읍 태흥로 삭선2교차로,36.7575758,126.2963338,041-336-2253
99,다기능,아산시 배방읍 온천대로 배방역사거리(천안→아산),36.77754,127.052751,041-336-2253
100,다기능,아산시 배방읍 온천대로 배방역사거리(아산→천안),36.77754,127.052751,041-336-2253
101,다기능,계룡시 두마면 팥거리2길 두마초병설유치원 앞,36.2671706,127.2735515,041-336-2253
102,다기능,계룡시 두마면 팥거리2길 포스코@ 앞,36.2671706,127.2735515,041-336-2253
103,다기능,홍성 갈산면 내포로1301번길 부기교차로(홍성→서산),36.6120323,126.5447599,041-336-2253
104,다기능,홍성 갈산면 내포로1301번길 부기교차로(서산→홍성),36.6120323,126.5447599,041-336-2253
105,다기능,홍성 갈산면 갈산서길250번길 산직2교차로(갈산→서부),36.6192313,126.5345425,041-336-2253
106,다기능,홍성 갈산면 갈산서길250번길 산직2교차로(서부→갈산),36.6192313,126.5345425,041-336-2253
107,다기능,홍성 홍북면 충남대로 산수교차로(내포→예산),36.657497,126.670618,041-336-2253
108,다기능,홍성 홍북면 충남대로 산수교차로(예산→내포),36.6507529,126.7228528,041-336-2253
109,다기능,홍성 홍북면 도청대로 신리체육공원 4가,36.6303628,126.6650714,041-336-2253
110,다기능,홍성 광천읍 충서로 단아래사거리(홍성→보령),36.504491,126.6171169,041-336-2253
111,과속,홍성 홍북면 홍덕서로 홍천문화마을 앞(홍주종합경기장→수덕사),36.6066914,126.6438645,041-336-2253
112,과속,홍성 홍북면 홍덕서로 홍천문화마을 앞(수덕사→홍주종합경기장),36.6629427,126.6225853,041-336-2253
113,과속,보령시 보령북로 139(한국중부발전 부근),36.3544578,126.5909572,041-336-2253
114,과속,천안시 서북구 직산읍 성진로 348 한국타이어 앞,36.9077878,127.1710106,041-336-2253
115,다기능,천안시 서북구 성거읍 망향로 345 육영아파트입구3가,36.8519866,127.1816364,041-336-2253
116,과속,천안시 동남구 천안대로 방죽다리 진입 전 100m,36.8248506,127.1582783,041-336-2253
117,과속,천안시 동남구 남부대로 벽산@입구 3가,,,041-336-2253
118,과속,천안시 동남구 충무로 천안일봉초등학교 정문 옆,36.798799,127.139986,041-336-2253
119,다기능,천안시 동남구 매봉로 송정3교차로,,,041-336-2253
120,과속,태안군 근흥면 근흥로 국방과학연구소 부근,36.7284578,126.2268531,041-336-2253
121,과속,서산시 고북면 내포로 날새교차로,36.6847846,126.536192,041-336-2253
122,과속,서산시 팔봉면 서해로 수원낚시할인마트 앞,36.7746205,126.3571905,041-336-2253
123,과속,아산 초사동 순천향로 초사교회 4가,36.7429233,126.9807446,041-336-2253
124,과속,아산 송악면 외암로 송학2리 마을회관 앞,36.6827,126.990737,041-336-2253
125,다기능,"아산시 배방읍 광장로 휴먼시아3단지 4가(장재리 1207, 천안→아산)",36.7967517,127.1091731,041-336-2253
126,과속,당진 무수동로 당진문예의전당교차로 전,36.8901113,126.638049,041-336-2253
127,과속,당진 고대면 대호만로 당진공설운동장 입구,36.9682595,126.5844504,041-336-2253
128,과속,홍성 광천읍 충서로 벽계경찰초소 앞,36.533023,126.629099,041-336-2253
129,과속,홍성 은하면 홍남로 화봉삼거리,36.514656,126.5888971,041-336-2253
130,다기능,홍성 금마면 충서로 내기사거리,36.618819,126.710297,041-336-2253
131,과속,"논산시 부적면 충곡리 22-18, 딸기향 농촌테마공원(계룡→논산)",36.1905847,127.1689004,041-336-2253
132,과속,"논산시 연무읍 동안로 NS테크 앞 삼거리(안심리 498-23, 강경→연무)",36.1402466,127.0894297,041-336-2253
133,과속,공주시 신풍면 동원리 193-2번지(산정교차로),36.5131904,126.9631666,041-336-2253
134,과속,공주시 유구읍 차동로 녹천2교차로,36.580298,126.938128,041-336-2253
135,다기능,공주시 정안면 활원길 37 운궁교차로,36.5829693,127.1174038,041-336-2253
136,과속,보령시 청소면 충서로 재정삼거리,36.4609127,126.599703,041-336-2253
137,과속,보령시 남포면 보령남로 243 앞,36.3237795,126.6034382,041-336-2253
138,다기능,보령시 대해로 터미널사거리(해수욕장→시내),36.3420658,126.5908737,041-336-2253
139,과속,예산군 신양면 차동로 차동1교차로,36.6128221,126.8855487,041-336-2253
140,과속,예산군 삽교읍 신리안치길 송산삼거리 부근,36.6855452,126.6801846,041-336-2253
141,다기능,예산군 오가면 역탑리 충서로 오가사거리(오가오거리),36.6848891,126.8073159,041-336-2253
142,과속,부여군 세도면 부흥로 과적검문소 앞,36.1639912,126.9614642,041-336-2253
143,과속,부여군 부여읍 대백제로 부여교차로,36.2666359,126.9067897,041-336-2253
144,과속,서천군 한산면 충절로 동산리 297-3,36.0890425,126.8165979,041-336-2253
145,과속,서천군 서면 주원로 2 앞,36.1551286,126.5717681,041-336-2253
146,과속,금산 금성면 진산로 도곡4가 앞,36.1243652,127.4661283,041-336-2253
147,과속,금산군 금산읍 중도리 205-6 대어도횟집 앞(금산→대전),,,041-336-2253
148,과속,청양군 정산면 칠갑산로 1992-25 인근,36.4074431,126.957685,041-336-2253
149,과속,청양군 화성면 대청로 화성3교 인근,36.4233359,126.7155817,041-336-2253
150,다기능,천안시 서북구 차암동 4산단로 삼성SDI 동문 앞,36.8582911,127.1212044,041-336-2253
151,다기능,천안시 서북구 입장면 망향로 상장교차로,36.9138688,127.2306855,041-336-2253
152,다기능,천안시 서북구 성환읍 천안대로 대홍삼거리,36.9485018,127.1323885,041-336-2253
153,다기능,천안시 동남구 목천읍 천안대로 삼성1리 육교앞 3가,36.758417,127.171628,041-336-2253
154,과속,천안시 동남구 수신면 수신로 739 (주)오스템 전방 50m지점,36.7553058,127.2932116,041-336-2253
155,과속,천안시 동남구 천안대로 683 유량육교 앞(원성동),36.8092086,127.1641881,041-336-2253
156,과속,천안시 동남구 신방동 남부대로 동일하이빌@ 105동 앞,36.7811204,127.1520287,041-336-2253
157,다기능,서산시 성연면 성연3로 성연초등학교 앞 교차로 (서산→왕정리),36.8240072,126.4488732,041-336-2253
158,다기능,서산시 성연면 성연3로 성연초등학교 앞 교차로 (왕정리→서산),36.8240072,126.4488732,041-336-2253
159,다기능,아산 탕정면 갈산리 한내교차로(탕정→배방),36.7902418,127.0540115,041-336-2253
160,다기능,아산 탕정면 갈산리 한내교차로(배방→탕정),36.78827,127.084638,041-336-2253
161,다기능,아산 둔포면 충무로 봉재2리 마을 입구,36.87762,127.029527,041-336-2253
162,다기능,아산 탕정면 갈산1교차로,,,041-336-2253
163,다기능,아산 방축동 온천대로 방축4거리,36.7759217,126.9830581,041-336-2253
164,다기능,예산군 고덕면 대천리 예덕로 별암미사거리,36.7570255,126.702956,041-336-2253
165,다기능,예산군 고덕면 몽곡리 예덕로 예당교차로,36.7724694,126.709,041-336-2253
166,과속,예산군 신암면 황금뜰로 별리2구 마을회관 앞,36.734308,126.757988,041-336-2253
167,다기능,서산시 석림동 서해로 석림사거리(태안→당진),36.7752611,126.4642912,041-336-2253
168,다기능,서산시 해미면 대곡리 원터로 원터교차로,36.685524,126.5794491,041-336-2253
169,다기능,아산시 음봉면 충무로 엘림파크 앞(아산→평택),36.8497039,127.0174723,041-336-2253
170,다기능,아산시 배방읍 배방로 배방중학교 4가(삼성전자→월천지구),36.770528,127.070303,041-336-2253
171,과속,아산시 풍기동 남부로 아산아이파크@앞(경찰서→용화동),36.7728544,127.0179321,041-336-2253
172,다기능,천안시 서북구 쌍용동 서부대로 천안컨벤션센터 앞,36.80446,127.127808,041-336-2253
173,다기능,천안시 서북구 쌍용동 불당대로 일봉산사거리(일봉초→쌍용사거리),36.7979089,127.1304206,041-336-2253
174,다기능,천안시 동남구 병천면 충절로 1872 병천중고교 앞(삼거리),36.7637465,127.3124367,041-336-2253
175,다기능,천안시 동남구 신방동 남부대로 새말사거리,36.786077,127.1286433,041-336-2253
176,다기능,아산시 읍내동 외암대로 읍내주공@ 앞 (아산→공주),36.7626592,127.017496,041-336-2253
177,다기능,아산시 읍내동 외암대로 읍내주공@ 앞 (공주→아산),36.7626592,127.017496,041-336-2253
178,다기능,태안군 태안읍 서해로 두야교차로 (만리포→태안),36.7596485,126.2655053,041-336-2253
179,다기능,태안군 태안읍 서해로 두야교차로 (태안→만리포),36.7596485,126.2655053,041-336-2253
180,과속,당진 채운동 운학길 69 당진코아루@앞(서산→당진),36.8946598,126.6224177,041-336-2253
181,다기능,당진 석문면 대호만로 석문교차로 (당진→왜목마을),37.0468373,126.5277158,041-336-2253
182,다기능,당진 석문면 대호만로 석문교차로 (왜목마을→당진),37.0468373,126.5277158,041-336-2253
183,과속,서산시 음암면 백제사신로 탑곡교차로 부근,36.804148,126.5499765,041-336-2253
184,다기능,서산시 음암면 백제사신로 문양교차로 (성연→서산IC),36.8000302,126.5179911,041-336-2253
185,다기능,서산시 음암면 백제사신로 문양교차로 (서산IC→성연),36.8000302,126.5179911,041-336-2253
186,다기능,"아산 풍기동 온천대로 이마트 앞 1,2차로 (천안방면)",36.7767681,127.0217884,041-336-2253
187,다기능,아산 풍기동 온천대로 이마트 앞 (천안방면),36.7767681,127.0217884,041-336-2253
188,다기능,"아산 풍기동 온천대로 이마트 앞 1,2차로 (아산방면)",36.7767681,127.0217884,041-336-2253
189,다기능,아산 풍기동 온천대로 이마트 앞 (아산방면),36.7767681,127.0217884,041-336-2253
190,다기능,보령시 주교면 보령북로 충남정심원 앞,36.3762095,126.5849734,041-336-2253
191,다기능,보령시 화산동 대청로 화산교차로,36.360814,126.6184261,041-336-2253
192,다기능,아산시 배방읍 고속철대로 이마트트레이더스 4가(천안→아산),36.7964116,127.1058253,041-336-2253
193,과속,예산군 덕산면 외라리 수덕사로 수덕초등학교 앞,36.6399466,126.6046145,041-336-2253
194,과속,예산군 예산읍 관작리 벚꽃로 벚꽃3가,36.7089978,126.8462488,041-336-2253
195,과속,예산군 봉산면 황금뜰로 고도교차로,36.7478264,126.6895515,041-336-2253
196,과속,천안시 서북구 쌍용동 불당대로 용암사거리,36.7999792,127.1245411,041-336-2253
197,다기능,천안시 서북구 직산읍 천안대로 시름세삼거리(부영@입구),36.8938696,127.1367507,041-336-2253
198,다기능,천안시 서북구 서부대로 서부대로사거리,36.8136089,127.1299693,041-336-2253
199,다기능,천안시 서북구 쌍용동 불당대로 쌍용초사거리,36.8016289,127.1229342,041-336-2253
200,과속,천안시 동남구 광덕면 차령로 대평리 원덕리 진출부,36.6702202,127.1443707,041-336-2253
201,다기능,천안시 동남구 삼룡동 천안대로 삼룡사거리,36.788855,127.1648619,041-336-2253
202,다기능,보령시 요암동 대해로 삼현교차로 (해수욕장→대천IC),36.3333999,126.574931,041-336-2253
203,다기능,보령시 요암동 대해로 삼현교차로 (대천IC→해수욕장),36.3333999,126.574931,041-336-2253
204,다기능,보령시 내항동 대해로 대천여상 앞 (대천IC→대천역),36.341629,126.586692,041-336-2253
205,과속,보령시 내항동 대해로 대천여상 건너편 (대천역→대천IC),36.3333999,126.574931,041-336-2253
206,과속,보령시 요암동 대해로 대천산업단지 앞 (해수욕장→대천IC),36.3333999,126.574931,041-336-2253
207,다기능,천안시 서북구 번영로 천안시청 입구 4가,36.8151122,127.1138884,041-336-2253
208,다기능,천안시 서북구 두정동 천안대로 두정역 입구 4가,36.832553,127.151895,041-336-2253
209,다기능,천안시 동남구 청수로 125 천안구성초등학교 앞,36.7935346,127.1584104,041-336-2253
210,과속,천안시 동남구 광풍로 823,36.7013321,127.1028678,041-336-2253
211,다기능,서산시 예천동 남부순환로 석남교차로,36.766378,126.442062,041-336-2253
212,다기능,서산시 예천동 서해로 예천사거리(대산→당진),36.7727333,126.4418767,041-336-2253
213,다기능,아산 음봉로 음봉중학교 앞 3가,36.8428216,127.0672297,041-336-2253
214,과속,"아산시 온천대로 화합의마을 앞(금산삼거리 4가, 아산→예산)",36.1086928,127.4880712,041-336-2253
215,다기능,논산시 부창동 득안대로 부창사거리,36.1958419,127.0847745,041-336-2253
216,다기능,논산시 연산면 계백로 연산사거리,36.2105092,127.2183724,041-336-2253
217,과속,논산시 연산면 계백로 양지서당입구 앞,36.2380614,127.2173163,041-336-2253
218,다기능,공주시 금벽로 301 봉황중학교 3가(신관동),36.4752058,127.1225586,041-336-2253
219,다기능,보령시 대청로 신설사거리(대천시내→청양),36.3523148,126.608094,041-336-2253
220,과속,보령시 보령남로 221-5 보령판넬,,,041-336-2253
221,다기능,당진 송악읍 북부산업로 부곡교차로 앞,36.9451627,126.7833112,041-336-2253
222,과속,당진 서해로 당진산업단지 사거리 앞,36.902194,126.6842387,041-336-2253
223,다기능,홍성 홍북면 충남대로 도교육청사거리,,,041-336-2253
224,과속,예산군 신암면 추사로 신암치안센터 3가,36.7439656,126.8237294,041-336-2253
225,다기능,예산군 예산읍 벚꽃로 간양2리 입구 4가,36.726552,126.867532,041-336-2253
226,다기능,부여군 남면 송암리 27-3 송암교차로,36.2178518,126.8305417,041-336-2253
227,과속,부여군 부여읍 백제문로 정동2교차로(공주→재현단지),36.3019931,126.9264536,041-336-2253
228,과속,서천군 기산면 화산로 3 계촌교차로,36.0840176,126.7520856,041-336-2253
229,다기능,금산 복수면 대둔산로 신대교차로,36.2240381,127.3764681,041-336-2253
230,과속,금산 남이면 금산로 107 솔솔송어장 앞,36.0613065,127.4912862,041-336-2253
231,과속,청양군 운곡면 청신로 미량1리 마을입구,36.5300462,126.8434517,041-336-2253
232,과속,서천공주고속도로 28.2Km 서천방향(부여 은산면 내지리 746-22),36.2782334,126.8224625,041-336-2253
233,다기능,서산시 예천동 서해로 예천사거리(당진→대산),36.7727333,126.4418767,041-336-2253
234,다기능,"서산시 호수공원6로 예천푸르지오@ 앞(예천동, 서부지구대 앞)",36.7740388,126.4477095,041-336-2253
235,다기능,서산시 성연면 충의로 일람사거리(대산→서산),36.8193942,126.4400423,041-336-2253
236,다기능,서산시 대산읍 충의로 대산고 입구(서산→대산),,,041-336-2253
237,다기능,홍성군 홍성읍 충서로 한솔마트 앞,36.6045411,126.6597568,041-336-2253
238,과속,부여군 규암면 진변리 177-3 (규암종합운동장→신리사거리),36.2901674,126.8834433,041-336-2253
239,다기능,아산시 권곡동 곡교천로 충무4가 (한내대교→옥정5가),36.3503427,126.6015113,041-336-2253
240,다기능,아산시 득산동 온천대로 부영@ 앞 3가(예산→아산),36.7807329,126.9684826,041-336-2253
241,다기능,아산시 둔포면 충무로 산전4가 (음봉→둔포),36.930437,127.038507,041-336-2253
242,다기능,아산시 배방읍 곡교천로 배방1교차로 (염치→천안),36.77754,127.052751,041-336-2253
243,다기능,서천군 마서면 장천로 서천국민체육센터 앞 삼거리(마서→장항),36.0623764,126.6579273,041-336-2253
244,다기능,서천군 서천읍 대백제로 천산3차아파트 삼거리 (장항→서천),36.0953643,126.685053,041-336-2253
245,다기능,서산시 지곡면 백제사신로 무장교차로 (대산→성연),36.8634918,126.4368866,041-336-2253
246,다기능,서산시 지곡면 백제사신로 무장교차로 (성연→대산),36.8634918,126.4368866,041-336-2253
247,다기능,서산시 대산읍 충의로 반곡교차로 (당진→대산),36.989904,126.431664,041-336-2253
248,다기능,서산시 대산읍 충의로 반곡교차로 (대산→당진),36.989904,126.431664,041-336-2253
249,과속,당진시 송산면 무수리 현대제철로 무수교차로 300m후 (당진IC→송산산단),36.9547429,126.6739532,041-336-2253
250,과속,당진시 송산면 무수리 현대제철로 무수교차로 300m전 (송산산단→당진IC),36.9547429,126.6739532,041-336-2253
251,다기능,당진시 송악읍 반촌리 현대제철로 송악교차로 (당진IC→송산산단),36.8924733,126.7065979,041-336-2253
252,다기능,당진시 송악읍 반촌리 현대제철로 송악교차로 (송산산단→당진IC),36.8993674,126.7069639,041-336-2253
253,다기능,천안시 서북구 백석동 음봉로 자동차검사소 삼거리(음봉→백석동),36.8257384,127.1062277,041-336-2253
254,다기능,천안시 서북구 차암동 3공단6로 한화꿈에그린@ 정문 사거리,36.8397092,127.1198093,041-336-2253
255,다기능,천안시 서북구 불당동 불당19로 불당호반1차@ 입구 사거리,36.8168714,127.1100698,041-336-2253
256,다기능,천안시 동남구 병천면 매봉로 만화교차로(오창→병천),36.7461579,127.3153973,041-336-2253
257,다기능,"천안시 동남구 풍세로 용곡신도브래뉴 사거리(용곡동, 남부대로→풍세)",36.778362,127.1414446,041-336-2253
258,과속,"천안시 동남구 천안대로 도솔공원 입구(신부동, 천안로사거리→동서고가교)",36.8212955,127.1625557,041-336-2253
259,다기능,"아산시 모종로 캐슬어울림1단지@ 4가 신리초등학교 앞(모종동, 터미널→신리)",36.7834098,127.021151,041-336-2253
260,다기능,"아산시 모종로 캐슬어울림1단지@ 4가 신리초등학교 앞(모종동, 신리→터미널)",36.7834098,127.021151,041-336-2253
261,과속,아산시 신창면 서부남로 624 성보물류 앞 양방향(신창↔도고),36.7939613,126.9256627,041-336-2253
262,다기능,부여군 부여읍 쌍북리 성왕로 동부농협 사거리,36.2858855,126.9241202,041-336-2253
263,과속,부여군 임천면 만사리 충절로 부여전자고등학교 앞,36.176452,126.8917935,041-336-2253
264,과속,천안시 서북구 직산읍 상덕로 동보@ 앞,36.8699538,127.1192583,041-336-2253
265,다기능,천안시 서북구 불당동 불당22대로 지웰더샵 106동 뒤 사거리,36.813656,127.105311,041-336-2253
266,다기능,천안시 서북구 백석동 백석로 백석그린빌@뒤 횡단보도,36.823434,127.121024,041-336-2253
267,다기능,천안시 동남구 신방동 일봉로 성지새말@ 2차 삼거리,36.7941038,127.130004,041-336-2253
268,다기능,천안시 동남구 풍세면 보성리 광풍로 풍세교차로,36.7345554,127.1264782,041-336-2253
269,과속,보령시 성주면 성주산로 551 석탄박물관 200m전,36.3224743,126.6534385,041-336-2253
270,다기능,보령시 주교면 보령북로 충남정심원 입구 교차로(홍성→보령시내),36.3762095,126.5849734,041-336-2253
271,다기능,천안시 서북구 쌍용동 충무로 현대홈타운 입구4가,36.7903384,127.1217471,041-336-2253
272,과속,천안시 서북구 성거읍 봉주로 문덕리 입구3가,36.8732185,127.183443,041-336-2253
273,다기능,천안시 동남구 천안대로 602-1 구성삼거리,36.7987983,127.1644173,041-336-2253
274,과속,천안시 동남구 풍세면 용정리 산1-5,36.7490361,127.1031851,041-336-2253
275,과속,"아산시 탕정면 온천대로 봉강교 앞(매곡리, 천안→아산)",36.7783549,127.0834534,041-336-2253
